"Date","ID","LA_pred"
2013-01-21,"1-1",0.008265
2013-01-22,"1-1",0.009986875
2013-01-23,"1-1",0.01170875
2013-01-24,"1-1",0.013430625
2013-01-25,"1-1",0.0151525
2013-01-26,"1-1",0.016874375
2013-01-27,"1-1",0.01859625
2013-01-28,"1-1",0.020318125
2013-01-29,"1-1",0.02204
2013-01-30,"1-1",0.0261725
2013-01-31,"1-1",0.030305
2013-02-01,"1-1",0.0344375
2013-02-02,"1-1",0.03857
2013-02-03,"1-1",0.0427025
2013-02-04,"1-1",0.047179375
2013-02-05,"1-1",0.05165625
2013-02-06,"1-1",0.056133125
2013-02-07,"1-1",0.06061
2013-02-08,"1-1",0.065086875
2013-02-09,"1-1",0.06956375
2013-02-10,"1-1",0.074040625
2013-02-11,"1-1",0.0785175
2013-02-12,"1-1",0.0800917857142857
2013-02-13,"1-1",0.0816660714285714
2013-02-14,"1-1",0.0832403571428571
2013-02-15,"1-1",0.0848146428571429
2013-02-16,"1-1",0.0863889285714286
2013-02-17,"1-1",0.0879632142857143
2013-02-18,"1-1",0.0895375
2013-02-19,"1-1",0.0891439285714286
2013-02-20,"1-1",0.0887503571428571
2013-02-21,"1-1",0.0883567857142857
2013-02-22,"1-1",0.0879632142857143
2013-02-23,"1-1",0.0875696428571429
2013-02-24,"1-1",0.0871760714285714
2013-02-25,"1-1",0.0867825
2013-02-26,"1-1",0.0873728571428571
2013-02-27,"1-1",0.0879632142857143
2013-02-28,"1-1",0.0885535714285714
2013-03-01,"1-1",0.0891439285714286
2013-03-02,"1-1",0.0897342857142857
2013-03-03,"1-1",0.0903246428571429
2013-03-04,"1-1",0.090915
2013-03-05,"1-1",0.0901278571428571
2013-03-06,"1-1",0.0893407142857143
2013-03-07,"1-1",0.0885535714285714
2013-03-08,"1-1",0.0877664285714286
2013-03-09,"1-1",0.0869792857142857
2013-03-10,"1-1",0.0861921428571429
2013-03-11,"1-1",0.085405
2013-03-12,"1-1",0.0852082142857143
2013-03-13,"1-1",0.0850114285714286
2013-03-14,"1-1",0.0848146428571429
2013-03-15,"1-1",0.0846178571428571
2013-03-16,"1-1",0.0844210714285714
2013-03-17,"1-1",0.0842242857142857
2013-03-18,"1-1",0.0840275
2013-03-19,"1-1",0.0840275
2013-03-20,"1-1",0.0840275
2013-03-21,"1-1",0.0840275
2013-03-22,"1-1",0.0840275
2013-03-23,"1-1",0.0840275
2013-03-24,"1-1",0.0840275
2013-03-25,"1-1",0.0840275
2013-03-26,"1-1",0.08333875
2013-03-27,"1-1",0.08265
2013-03-28,"1-1",0.08196125
2013-03-29,"1-1",0.0812725
2013-03-30,"1-1",0.08058375
2013-03-31,"1-1",0.079895
2013-04-01,"1-1",0.07920625
2013-04-02,"1-1",0.0785175
2013-04-03,"1-1",0.0785175
2013-04-04,"1-1",0.0785175
2013-04-05,"1-1",0.0785175
2013-04-06,"1-1",0.0785175
2013-04-07,"1-1",0.0785175
2013-04-08,"1-1",0.0785175
2013-04-09,"1-1",0.0751721428571429
2013-04-10,"1-1",0.0718267857142857
2013-04-11,"1-1",0.0684814285714286
2013-04-12,"1-1",0.0651360714285714
2013-04-13,"1-1",0.0617907142857143
2013-04-14,"1-1",0.0584453571428571
2013-04-15,"1-1",0.0551
2013-04-16,"1-1",0.0533289285714286
2013-04-17,"1-1",0.0515578571428571
